,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,BBANDS_lower,CCI_14,OBV,WILLR_14,CMO,COPP,STCmacd_10_12_26_0.5,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
0,2015-01-02,17402.19921875,17608.509765625,17260.974609375,17395.224609375,12412.0185546875,8743,0,0.0,0.0,8743.0,0.0,0.0,0.0,0.0,-0.3333086193374851,0.0907020196318626,-0.8540768725797534
1,2015-01-05,17395.224609375,17696.265625,16917.509765625,16965.74609375,12105.5732421875,50765,-1,0.0,0.0,-42022.0,0.0,0.0,0.0,0.0,-0.1979802823247941,0.4589172787964344,-0.9069290151819588
2,2015-01-06,16965.74609375,17027.3515625,16273.005859375,16556.033203125,11813.232421875,63567,-1,0.0,0.0,-105589.0,0.0,0.0,0.0,0.0,-0.2584405313432216,0.1825432851910591,-0.8326564515009522
3,2015-01-07,16556.033203125,16737.93359375,16281.142578125,16377.619140625,11685.92578125,346620,-1,0.0,0.0,-452209.0,0.0,0.0,0.0,0.0,-0.3331942647207705,0.2391559556126594,-0.8626151597127318
4,2015-01-08,16377.619140625,16562.421875,16081.2275390625,16154.4501953125,11526.6904296875,89004,-1,15806.312533723503,0.0,-541213.0,0.0,0.0,0.0,0.0,-0.0442417794122145,0.2473258897662162,-0.3230099119246006
5,2015-01-09,16154.4501953125,16272.427734375,15981.8486328125,16185.833984375,11549.083984375,45400,0,15854.918383160775,0.0,-495813.0,0.0,0.0,0.0,0.0,-0.2264920926120664,0.3177797347307205,-0.7952041672542691
6,2015-01-12,16185.833984375,16208.4970703125,16106.2158203125,16120.1640625,11502.224609375,53717,0,15949.099770106746,0.0,-549530.0,0.0,0.0,0.0,0.0,-0.3323111753253376,0.2430503293871879,-0.7735911384224892
7,2015-01-13,16130.041015625,16342.1630859375,16130.041015625,16235.810546875,11584.7431640625,57984,1,16035.023306826208,0.0,-491546.0,0.0,0.0,0.0,0.0,-0.1114232010828952,0.651096798479557,-0.7964870845898986
8,2015-01-14,16235.810546875,16273.005859375,15851.0849609375,16142.2490234375,11517.9853515625,86488,-1,16087.447651148772,0.0,-578034.0,0.0,0.0,0.0,0.0,-0.2776864224456642,0.2860363274812698,-0.9015197264961898
9,2015-01-15,16142.2490234375,16182.92578125,15952.205078125,15954.5361328125,11384.0458984375,64828,-1,15937.30522513702,0.0,-642862.0,0.0,0.0,0.0,0.0,-0.1973111155726339,0.304103072732687,-0.8624410200864077
10,2015-01-16,15954.5361328125,16156.197265625,15808.662109375,15849.3447265625,11308.9873046875,32761,-1,15782.152897550426,0.0,-675623.0,0.0,0.0,0.0,0.0,-0.2328940284496639,0.1758583411574363,-0.8814477422274649
11,2015-01-19,15849.3447265625,16039.9609375,15849.3447265625,16031.830078125,11439.197265625,7050707,1,15770.7556292257,0.0,6375084.0,0.0,0.0,0.0,0.0,-0.158123420121578,0.4157061949372291,-0.6152036096900702
12,2015-01-20,16031.830078125,16135.8525390625,15759.8427734375,15998.69921875,11415.5556640625,34008,0,15803.697504086813,0.0,6341076.0,0.0,0.0,0.0,0.0,-0.3395340703427791,0.2375694587826728,-0.8371405014768243
13,2015-01-21,15998.69921875,16141.6640625,15691.26953125,15774.953125,11255.90625,82625,-1,15730.236527548574,-84.03743112408837,6258451.0,-95.8262465442771,0.0,0.0,0.0,-0.0618294452388699,0.7287472542375326,-0.7834384683519602
14,2015-01-22,15774.953125,16105.630859375,15774.953125,15964.9912109375,11391.50390625,141039,1,15730.726092496545,-68.68676021388528,6399490.0,-86.34801930334184,-43.0597344365719,0.0,0.0,-0.1235513438542301,0.5831749923527241,-0.8099315883591771
