,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,BBANDS_lower,CCI_14,OBV,WILLR_14,COPP,CMO,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
0,2015-01-02,5740.7001953125,5775.0,5700.0,5768.60009765625,3994.892578125,40075,0,0.0,0.0,40075.0,0.0,0.0,0.0,0.0,-0.3333086193374851,0.0907020196318626,-0.8540768725797534
1,2015-01-05,5768.60009765625,5740.0,5479.39990234375,5505.60009765625,3854.857421875,73204,-1,0.0,0.0,-33129.0,0.0,0.0,0.0,0.0,-0.1979802823247941,0.4589172787964344,-0.9069290151819588
2,2015-01-06,5505.60009765625,5695.0,5520.0,5574.7998046875,3903.310302734375,133744,1,0.0,0.0,100615.0,0.0,0.0,0.0,0.0,-0.2584405313432216,0.1825432851910591,-0.8326564515009522
3,2015-01-07,5574.7998046875,5696.0,5500.0,5554.7001953125,3889.237548828125,63787,0,0.0,0.0,36828.0,0.0,0.0,0.0,0.0,-0.3331942647207705,0.2391559556126594,-0.8626151597127318
4,2015-01-08,5554.7001953125,5654.0,5580.10009765625,5637.0,3946.8603515625,74762,1,5426.895109840135,0.0,111590.0,0.0,0.0,0.0,0.0,-0.0442417794122145,0.2473258897662162,-0.3230099119246006
5,2015-01-09,5637.0,5700.7001953125,5562.7998046875,5569.89990234375,3899.8798828125,103148,-1,5484.111544847759,0.0,8442.0,0.0,0.0,0.0,0.0,-0.2264920926120664,0.3177797347307205,-0.7952041672542691
6,2015-01-12,5569.89990234375,5617.0,5571.0,5617.0,3932.857421875,41648,1,5528.603742134809,0.0,50090.0,0.0,0.0,0.0,0.0,-0.3323111753253376,0.2430503293871879,-0.7735911384224892
7,2015-01-13,5617.0,5772.7001953125,5617.0,5659.2998046875,3962.474853515625,94814,1,5528.357385206621,0.0,144904.0,0.0,0.0,0.0,0.0,-0.1114232010828952,0.651096798479557,-0.7964870845898986
8,2015-01-14,5659.2998046875,5754.0,5620.0,5632.5,3943.71044921875,185789,0,5563.410898062375,0.0,-40885.0,0.0,0.0,0.0,0.0,-0.2776864224456642,0.2860363274812698,-0.9015197264961898
9,2015-01-15,5632.5,5679.7998046875,5628.89990234375,5660.5,3963.31494140625,373375,0,5561.19058415579,0.0,332490.0,0.0,0.0,0.0,0.0,-0.1973111155726339,0.304103072732687,-0.8624410200864077
10,2015-01-16,5658.89990234375,5711.7001953125,5660.0,5702.0,3992.372314453125,132434,1,5596.258236609473,0.0,464924.0,0.0,0.0,0.0,0.0,-0.2328940284496639,0.1758583411574363,-0.8814477422274649
11,2015-01-19,5702.0,5700.0,5650.0,5663.10009765625,3965.13427734375,27109,-1,5619.02731297948,0.0,437815.0,0.0,0.0,0.0,0.0,-0.158123420121578,0.4157061949372291,-0.6152036096900702
12,2015-01-20,5663.10009765625,5795.0,5650.0,5728.10009765625,4010.646728515625,176969,1,5609.821114883089,0.0,614784.0,0.0,0.0,0.0,0.0,-0.3395340703427791,0.2375694587826728,-0.8371405014768243
13,2015-01-21,5728.10009765625,5898.5,5730.0,5880.89990234375,4117.6328125,668301,1,5564.890872297962,209.9359315748183,1283085.0,-4.199497388494001,0.0,0.0,0.0,-0.0618294452388699,0.7287472542375326,-0.7834384683519602
14,2015-01-22,5880.89990234375,6000.0,5900.0,5995.60009765625,4197.94189453125,153184,1,5543.922830073499,262.21087131571454,1436269.0,-0.8451597230884955,0.0,42.99646861350735,71.49823430675367,-0.1235513438542301,0.5831749923527241,-0.8099315883591771
15,2015-01-23,5995.60009765625,6100.0,5937.7001953125,6017.7001953125,4213.4150390625,31573,0,5574.494770557247,204.0356583678881,1467842.0,-13.716634114583336,0.0,44.94151665545287,72.47075832772643,-0.2476105256202189,0.2494212090969085,-0.7846500054001808
16,2015-01-26,6017.7001953125,5965.0,5800.0,5919.89990234375,4144.939453125,52238,-1,5702.630535645067,96.75176620855422,1415604.0,-30.01668294270833,0.0,24.66859737319669,62.33429868659835,-0.2571392083274467,0.1774239838123321,-0.8037086445838213
17,2015-01-27,5919.89990234375,5990.0,5800.0,5947.89990234375,4164.54345703125,72207,0,5853.126095526385,86.29847572106353,1487811.0,-28.31348517432507,0.0,27.782936306330157,63.89146815316508,-0.1604444564975522,0.2819506004452705,-0.7552006272599101
18,2015-01-28,5947.89990234375,5980.0,5895.7998046875,5900.60009765625,4131.42529296875,195951,-1,5867.739896779571,77.74313409548654,1291860.0,-37.1183599864023,0.0,18.84462712563636,59.42231356281817,-0.3175651669088337,0.070633016526699,-0.8526800498366356
19,2015-01-29,5900.60009765625,5957.89990234375,5800.0,5949.39990234375,4165.59423828125,540518,1,5867.63980516912,56.16126213732954,1832378.0,-28.468827534262765,0.0,24.69707776217397,62.34853888108699,-0.27244178194087,0.2147879526019096,-0.9242369290441276
20,2015-01-30,5949.39990234375,5950.0,5773.0,5798.2001953125,4059.72900390625,129944,-1,5792.049228662994,15.871486212422578,1702434.0,-62.48443161231884,0.0,0.5116203582124338,50.25581017910622,-0.1676338016986847,0.3372390754520893,-0.8710213396698236
21,2015-02-02,5783.7998046875,5850.0,5773.5,5833.39990234375,4084.373291015625,75913,1,5764.113845267878,-2.882557373338434,1778347.0,-55.54168701171876,0.0,5.125034502630081,52.56251725131504,-0.3578003008539478,0.0413495078682899,-0.8496994795277715
22,2015-02-03,5833.39990234375,5900.0,5833.39990234375,5881.39990234375,4117.98291015625,90987,1,5767.4081853229,25.073001662119477,1869334.0,-46.402048894448974,0.0,11.173947255344228,55.58697362767211,-0.2592278154566884,0.3228999078273773,-0.6959863156080246
