,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,RSI_14,BBANDS_lower,Histogram,ATR_14,WILLR_14,TSI_13_25_13,CMO,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
0,2015-01-02,351.3099975585937,356.92999267578125,351.25,356.9200134277344,187.34109497070312,1008955,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333086193374851,0.0907020196318626,-0.8540768725797534
1,2015-01-05,356.9200134277344,358.1000061035156,343.0,349.8099975585937,183.6091766357422,6277105,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1979802823247941,0.4589172787964344,-0.9069290151819588
2,2015-01-06,349.8099975585937,352.0,348.0199890136719,349.739990234375,183.5724639892578,3245909,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2584405313432216,0.1825432851910591,-0.8326564515009522
3,2015-01-07,349.739990234375,354.0,349.010009765625,352.6700134277344,185.1103363037109,3965623,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3331942647207705,0.2391559556126594,-0.8626151597127318
4,2015-01-08,352.6700134277344,352.3999938964844,343.989990234375,345.0,184.4047698974609,4462814,0,0.0,342.995183805392,0.0,0.0,0.0,0.0,0.0,-0.0442417794122145,0.2473258897662162,-0.3230099119246006
5,2015-01-09,345.0,348.5,344.0,347.8999938964844,185.9548797607422,6550118,1,0.0,343.9738652577801,0.0,0.0,0.0,0.0,0.0,-0.2264920926120664,0.3177797347307205,-0.7952041672542691
6,2015-01-12,347.8999938964844,350.0,345.1600036621094,348.7099914550781,186.38780212402344,2983025,0,0.0,343.8145194184576,0.0,0.0,0.0,0.0,0.0,-0.3323111753253376,0.2430503293871879,-0.7735911384224892
7,2015-01-13,348.7099914550781,347.989990234375,345.1199951171875,345.2200012207031,184.52235412597656,2926281,-1,0.0,342.3141960138124,0.0,0.0,0.0,0.0,0.0,-0.1114232010828952,0.651096798479557,-0.7964870845898986
8,2015-01-14,345.2200012207031,347.7799987792969,345.239990234375,347.4200134277344,185.6982879638672,2516166,1,0.0,343.88805918709704,0.0,0.0,0.0,0.0,0.0,-0.2776864224456642,0.2860363274812698,-0.9015197264961898
9,2015-01-15,347.4200134277344,349.3999938964844,347.0,348.989990234375,186.53746032714844,2562555,0,0.0,344.9737623784173,0.0,0.0,0.0,0.0,0.0,-0.1973111155726339,0.304103072732687,-0.8624410200864077
10,2015-01-16,348.989990234375,355.0,349.0,354.1600036621094,189.3008575439453,1953341,1,0.0,343.0046057784373,0.0,0.0,0.0,0.0,0.0,-0.2328940284496639,0.1758583411574363,-0.8814477422274649
