,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Histogram,CCI_14,WILLR_14,MFI_14,UO,TRIX_30_9,DPO,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
0,2015-01-02,2682.199951171875,2800.0,2700.0,2742.89990234375,1519.405517578125,203894,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333086193374851,0.0907020196318626,-0.8540768725797534
1,2015-01-05,2742.89990234375,2799.89990234375,2610.0,2619.60009765625,1451.104736328125,180618,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1979802823247941,0.4589172787964344,-0.9069290151819588
2,2015-01-06,2619.60009765625,2700.0,2560.0,2587.199951171875,1433.15673828125,252188,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2584405313432216,0.1825432851910591,-0.8326564515009522
3,2015-01-07,2587.199951171875,2647.89990234375,2550.0,2560.300048828125,1418.256103515625,183262,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3331942647207705,0.2391559556126594,-0.8626151597127318
4,2015-01-08,2560.300048828125,2679.89990234375,2580.0,2631.60009765625,1457.7520751953125,445695,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0442417794122145,0.2473258897662162,-0.3230099119246006
5,2015-01-09,2631.60009765625,2675.0,2630.199951171875,2659.60009765625,1473.2623291015625,204837,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2264920926120664,0.3177797347307205,-0.7952041672542691
6,2015-01-12,2659.60009765625,2664.89990234375,2600.0,2601.10009765625,1468.463623046875,206823,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3323111753253376,0.2430503293871879,-0.7735911384224892
7,2015-01-13,2601.10009765625,2610.0,2420.0,2504.60009765625,1413.9840087890625,466164,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1114232010828952,0.651096798479557,-0.7964870845898986
8,2015-01-14,2504.60009765625,2502.0,2275.0,2282.300048828125,1288.4833984375,541972,-1,0.0,0.0,0.0,0.0,0.0,0.0,29.205023193359462,-0.2776864224456642,0.2860363274812698,-0.9015197264961898
9,2015-01-15,2282.300048828125,2400.0,2200.0,2227.10009765625,1257.3201904296875,298369,-1,0.0,0.0,0.0,0.0,0.0,0.0,33.53006591796884,-0.1973111155726339,0.304103072732687,-0.8624410200864077
